"","region","tribe","minority","n"
"1","central","akaramojonj",1,1
"2","central","alur",1,6
"3","central","ateso",1,18
"4","central","japadhola",1,7
"5","central","kakwa",1,1
"6","central","kuksabin",1,1
"7","central","kumam",1,1
"8","central","lugbara",1,5
"9","central","luo",1,17
"10","central","madi",1,2
"11","central","mufumbira",1,10
"12","central","muganda",0,822
"13","central","mugishu",1,20
"14","central","mugwere",1,4
"15","central","muhororo",1,1
"16","central","mukiga",1,16
"17","central","mukonzo",1,2
"18","central","munyankole",1,84
"19","central","munyarwanda",1,27
"20","central","munyoli",1,3
"21","central","munyoro",1,23
"22","central","musoga",1,57
"23","central","mutooro",1,15
"24","central","mwamba",1,2
"25","central","samia",1,5
"26","east","alur",1,1
"27","east","ateso",1,305
"28","east","japadhola",1,65
"29","east","kuksabin",1,18
"30","east","kumam",1,12
"31","east","lugbara",1,2
"32","east","luo",1,8
"33","east","madi",1,2
"34","east","mufumbira",1,1
"35","east","muganda",1,23
"36","east","mugishu",1,185
"37","east","mugwere",1,70
"38","east","mukiga",1,3
"39","east","munyankole",1,5
"40","east","munyoli",1,24
"41","east","munyoro",1,3
"42","east","musoga",0,424
"43","east","mutooro",1,1
"44","east","samia",1,24
"45","kampala","alur",1,2
"46","kampala","ateso",1,5
"47","kampala","japadhola",1,1
"48","kampala","luo",1,6
"49","kampala","mufumbira",1,1
"50","kampala","muganda",0,97
"51","kampala","mugishu",1,4
"52","kampala","munyankole",1,9
"53","kampala","munyarwanda",1,1
"54","kampala","munyoli",1,1
"55","kampala","munyoro",1,9
"56","kampala","musoga",1,3
"57","kampala","mutooro",1,3
"58","north","alur",1,119
"59","north","ateso",1,2
"60","north","japadhola",1,2
"61","north","jonam",1,6
"62","north","kakwa",1,14
"63","north","kumam",1,1
"64","north","lugbara",1,181
"65","north","luo",0,632
"66","north","madi",1,100
"67","north","mugwere",1,1
"68","north","munyoro",1,1
"69","north","musoga",1,2
"70","west","alur",1,13
"71","west","ateso",1,3
"72","west","japadhola",1,1
"73","west","kakwa",1,2
"74","west","lugbara",1,5
"75","west","luo",1,13
"76","west","madi",1,1
"77","west","mufumbira",1,47
"78","west","muganda",1,28
"79","west","mugishu",1,1
"80","west","muhororo",1,10
"81","west","mukiga",1,236
"82","west","mukonzo",1,31
"83","west","munyankole",0,458
"84","west","munyarwanda",1,3
"85","west","munyoli",1,1
"86","west","munyoro",1,157
"87","west","musoga",1,2
"88","west","mutagwenda",1,9
"89","west","mutooro",1,136
"90","west","mwamba",1,9
